gene_id	TPM
CJI97_000400	66.320015
CJI97_000401	93.317261
CJI97_000402	69.649155
CJI97_000403	146.786896
CJI97_000404	93.180527
CJI97_000405	39.756191
CJI97_000406	55.534359
CJI97_000407	32.059620
CJI97_000408	13.680062
CJI97_000409	170.070679
CJI97_000410	141.686264
CJI97_000411	49.074062
CJI97_000412	29.600597
CJI97_000413	260.954895
CJI97_000414	69.240356
CJI97_000415	72.982002
CJI97_000416	0.000000
CJI97_000417	54.641773
CJI97_000418	7.307116
CJI97_000419	41.001583
CJI97_000420	34.635899
CJI97_000421	48.733738
CJI97_000422	51.934322
CJI97_000423	44.797173
CJI97_000424	74.937973
CJI97_000425	115.630127
CJI97_000426	0.000000
CJI97_000427	39.895687
CJI97_000428	38.909138
CJI97_000429	30.404396
CJI97_000430	48.931316
CJI97_000431	148.612747
CJI97_000432	15.325993
CJI97_000433	132.979935
CJI97_000434	2148.238525
CJI97_000435	43.660278
CJI97_000436	127.227455
CJI97_000437	144.565582
CJI97_000438	0.000000
CJI97_000439	8.785216
CJI97_000440	30.015285
CJI97_000441	76.371704
CJI97_000442	103.149376
CJI97_000443	34.277767
CJI97_000444	252.222519
CJI97_000445	38.646271
CJI97_000446	6.232020
CJI97_000447	4.370076
CJI97_000448	141.244217
CJI97_000449	91.603416
CJI97_000450	51.508583
CJI97_000451	31.246529
CJI97_000452	41.562344
CJI97_000453	2.867636
CJI97_000454	54.028450
CJI97_000455	0.000000
CJI97_000456	17.233391
CJI97_000457	791.412292
CJI97_000458	44.890724
CJI97_000459	191.065292
CJI97_000460	396.844116
CJI97_000461	1213.637817
CJI97_000462	143.233643
CJI97_000463	277.202393
CJI97_000464	85.441521
CJI97_000465	214.719299
CJI97_000466	63.973358
CJI97_000467	108.766685
CJI97_000468	97.432037
CJI97_000469	866.036987
CJI97_000470	0.000000
CJI97_000471	87.915565
CJI97_000472	49.306828
CJI97_000473	95.814880
CJI97_000474	57.911819
CJI97_000475	53.546696
CJI97_000476	519.656067
CJI97_000477	0.000000
CJI97_000478	111.728195
CJI97_000479	7.050984
CJI97_000480	608.221802
CJI97_000481	74.070564
CJI97_000482	37.626659
CJI97_000483	90.514198
CJI97_000484	425.163147
CJI97_000485	327.004425
CJI97_000486	3320.556885
CJI97_000487	75.750839
CJI97_000488	51.145889
CJI97_000489	30.256012
CJI97_000490	269.938812
CJI97_000491	74.877167
CJI97_000492	130.046616
CJI97_000493	242.309952
CJI97_000494	93.060234
CJI97_000495	134.342300
CJI97_000496	154.896729
CJI97_000497	116.778511
CJI97_000498	86.935883
CJI97_000499	1583.153320
CJI97_000500	21.271049
CJI97_000501	84.214584
CJI97_000502	228.995529
CJI97_000503	47.365562
CJI97_000504	23.881582
CJI97_000505	39.053879
CJI97_000506	52.162453
CJI97_000507	319.694305
CJI97_000508	811.046448
CJI97_000509	40.364834
CJI97_000510	16.003283
CJI97_000511	94.615677
CJI97_000512	112.407730
CJI97_000513	148.296402
CJI97_000514	87.402771
CJI97_000515	44.800415
CJI97_000516	34.069199
CJI97_000517	84.250275
CJI97_000518	107.246193
CJI97_000519	857.474182
CJI97_000520	62.836079
CJI97_000521	196.381699
CJI97_000522	117.778999
CJI97_000523	66.820747
CJI97_000524	151.755905
CJI97_000525	24.845448
CJI97_000526	73.336472
CJI97_000527	77.504898
CJI97_000528	77.666801
CJI97_000529	77.887466
CJI97_000530	583.590942
CJI97_000531	94.984406
CJI97_000532	123.516518
CJI97_000533	48.022518
CJI97_000534	72.607475
CJI97_000535	36.702248
